,Item,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
0,"Almonds, with shell",1274531.0,1378881.0,1035328.0,1282796.0,1585330.0,1305347.0,1653005.0,1447013.0,1537159.0,1834084.0,1754031.0,1587152.0,1818627.0,2056529.0,1660512.0,1805364.0,1817258.0,1897147.0,2094552.0,2022028.0,2012664.0,1932524.0,2014441.0,2140435.0
1,"Anise, badian, fennel, coriander",406779.0,298774.0,306422.0,332334.0,367941.0,435597.0,404999.0,382115.0,478803.0,494460.0,569379.0,567657.0,555647.0,585867.0,697053.0,713523.0,726952.0,825987.0,952177.0,922242.0,906215.0,997174.0,1078437.0,1198701.0
2,Apples,47655404.0,46397563.0,48781139.0,54270956.0,55926127.0,54865106.0,56916384.0,59045143.0,57059764.0,55237272.0,58039143.0,62156748.0,61818811.0,63151990.0,65509717.0,68863023.0,71531316.0,71069025.0,76952833.0,78480484.0,82727498.0,85377416.0,82304276.0,85099119.0
3,Apricots,2290295.0,2510871.0,2080924.0,2558283.0,2402375.0,2497260.0,2636373.0,2856988.0,2636657.0,2610798.0,2888827.0,2778248.0,3622000.0,3457669.0,3289698.0,3680140.0,3752685.0,3302335.0,3813857.0,3861919.0,4092172.0,3337712.0,3959040.0,3761496.0
4,Areca nuts,541245.0,574683.0,622813.0,635873.0,648151.0,710552.0,698689.0,727453.0,767094.0,832938.0,874014.0,916245.0,956755.0,1025100.0,1056485.0,1074442.0,1102135.0,1081506.0,1096126.0,1340932.0,1166137.0,1191271.0,1348894.0,1319815.0
5,Artichokes,1170458.0,1207993.0,1161779.0,1135839.0,1256411.0,1250776.0,1245908.0,1330461.0,1259163.0,1278280.0,1279446.0,1368940.0,1283433.0,1422836.0,1495017.0,1500901.0,1524161.0,1480363.0,1528100.0,1615474.0,1609046.0,1574887.0,1454379.0,1422247.0
6,Asparagus,2699510.0,2921779.0,3005812.0,3321796.0,3501494.0,3654790.0,3960945.0,4640820.0,4966941.0,5751718.0,6271754.0,6620692.0,6705637.0,6930938.0,7092366.0,7215274.0,7363816.0,7486945.0,8190106.0,8282237.0,7934556.0,7843695.0,8576057.0,8760402.0
7,Avocados,1977006.0,2088112.0,2137249.0,2235180.0,2199346.0,2370725.0,2467898.0,2699968.0,2755453.0,2935026.0,3111775.0,3152836.0,3339559.0,3558119.0,3503502.0,3350041.0,3813452.0,3781197.0,4070598.0,4314543.0,4541077.0,4944512.0,5197484.0,5527240.0
8,Bambara beans,87072.0,92775.0,127706.0,84293.0,56263.0,71086.0,81474.0,61620.0,73923.0,80731.0,92453.0,75618.0,97633.0,103047.0,100624.0,136900.0,135894.0,151785.0,135636.0,155981.0,157247.0,155341.0,162817.0,163279.0
9,Bananas,56368506.0,58041486.0,58735581.0,58013868.0,62748007.0,64894456.0,69925915.0,67205900.0,70051117.0,72911935.0,74936365.0,79394359.0,83656133.0,88644981.0,94411449.0,98758338.0,103417274.0,108660761.0,109405707.0,109338881.0,112232224.0,112796866.0,115107354.0,112597029.0
10,Barley,166344124.0,157333400.0,138285305.0,153004062.0,152690257.0,135593838.0,126421015.0,131583522.0,139108487.0,139508795.0,135227768.0,154828063.0,135262699.0,142982946.0,129715485.0,152325820.0,149509911.0,122136281.0,131597588.0,131109323.0,142384190.0,143418296.0,145595397.0,143929489.0
11,"Beans, dry",16457557.0,17600095.0,17775819.0,17091787.0,16509840.0,16595672.0,17938005.0,17825998.0,18463649.0,20116485.0,21354459.0,18644580.0,19263787.0,21163756.0,21730860.0,21885878.0,21984442.0,24627300.0,24062137.0,24442501.0,24932531.0,26791153.0,27605894.0,28776444.0
12,"Beans, green",6798331.0,6900082.0,8503154.0,8776246.0,8878028.0,9090856.0,9526102.0,9811924.0,10895336.0,11645916.0,12825287.0,13732802.0,15421924.0,17194750.0,17998864.0,18935490.0,19122644.0,19764561.0,20125938.0,20860068.0,21346191.0,21707373.0,23311165.0,23577151.0
13,Blueberries,143247.0,133923.0,156819.0,158339.0,174143.0,158224.0,205410.0,211143.0,230986.0,201297.0,216602.0,230593.0,242300.0,266801.0,266389.0,314896.0,339516.0,327866.0,363776.0,403625.0,434522.0,525648.0,539216.0,621717.0
14,"Broad beans, horse beans, dry",3522276.0,3619076.0,3602262.0,3673164.0,3412385.0,3784118.0,3546075.0,3777410.0,4148176.0,4325359.0,4536877.0,4306861.0,4434649.0,4079646.0,3880866.0,4272420.0,4288037.0,4325876.0,4564078.0,4436390.0,4439217.0,4237450.0,4303711.0,4465333.0
15,Buckwheat,4257561.0,3772502.0,3464679.0,3271629.0,3694888.0,3096291.0,2789384.0,3780715.0,2589725.0,1829519.0,2569059.0,2290526.0,2080357.0,1940299.0,2378551.0,2219882.0,1800380.0,1454381.0,2367844.0,2262821.0,2263615.0,1924825.0,2935513.0,3001235.0
16,Cabbages and other brassicas,42199154.0,42362347.0,44873629.0,48119279.0,48834404.0,49689820.0,53016972.0,75046220.0,71248874.0,68315680.0,67808217.0,66349407.0,65076049.0,64259696.0,62282412.0,64881153.0,65452500.0,65456413.0,69741513.0,67593652.0,68617376.0,70930555.0,70405619.0,70852905.0
17,Canary seed,204372.0,300753.0,216382.0,347375.0,168783.0,307289.0,217034.0,215063.0,150073.0,225499.0,300208.0,377926.0,296417.0,193605.0,216630.0,257834.0,254878.0,211127.0,201916.0,222475.0,195412.0,234928.0,232233.0,220434.0
18,Carrots and turnips,16157389.0,16627705.0,17449142.0,18935944.0,20023297.0,20035265.0,20839381.0,21954325.0,22236032.0,23092511.0,25213608.0,26222932.0,27654131.0,29052678.0,30514664.0,33882409.0,34549059.0,34962602.0,36568808.0,37292645.0,38068577.0,38693119.0,40551168.0,41959372.0
19,"Cashew nuts, with shell",1044903.0,1182348.0,1291117.0,1385416.0,1518676.0,1424514.0,1850006.0,2067632.0,2079108.0,2368404.0,2600036.0,2918385.0,3216322.0,3532697.0,3715661.0,4013015.0,4058758.0,3984222.0,4154058.0,3943700.0,3802263.0,3689275.0,4404626.0,4016884.0
20,Cashewapple,1850499.0,1705000.0,1759788.0,1813932.0,1868000.0,1623752.0,1675566.0,1780211.0,1730985.0,1788139.0,1789666.0,1798095.0,1841450.0,1849605.0,1938901.0,1976894.0,2009193.0,1998640.0,2023560.0,1986186.0,1963758.0,1922557.0,1747733.0,1589212.0
21,Cassava,163185200.0,164501122.0,161787472.0,158373489.0,161747292.0,162613418.0,168847319.0,175846841.0,181687058.0,182642727.0,192215571.0,203831954.0,206533773.0,223636616.0,226974275.0,230081674.0,233794346.0,239296357.0,251822205.0,277683210.0,278454322.0,292053387.0,295243492.0,296042725.0
22,Cauliflowers and broccoli,10667644.0,12186763.0,12646701.0,13910151.0,14539736.0,14384280.0,14981934.0,15948102.0,15964374.0,16697656.0,17370821.0,17918840.0,17514873.0,18741679.0,19310357.0,19925197.0,20854876.0,21212255.0,21943248.0,22629789.0,23360206.0,24492031.0,24370491.0,25032026.0
23,Cherries,1700465.0,1623627.0,1623676.0,1791313.0,1633115.0,1633052.0,1819022.0,1895479.0,1813267.0,2090775.0,1713256.0,1691567.0,1838475.0,1897749.0,1984511.0,1849902.0,2151349.0,1992014.0,2148920.0,2180464.0,2269355.0,2147357.0,2223488.0,2352707.0
24,"Cherries, sour",1212010.0,986431.0,1027263.0,1156139.0,1075835.0,990154.0,982144.0,1115407.0,1119486.0,969550.0,1129579.0,1231816.0,1148705.0,1136300.0,1184928.0,1212121.0,1330845.0,1125466.0,1245658.0,1152626.0,1376943.0,1324127.0,1331434.0,1394818.0
25,Chestnut,637504.0,691159.0,676032.0,676694.0,788279.0,832532.0,886276.0,940661.0,946127.0,1040280.0,1133821.0,1267017.0,1368045.0,1495816.0,1604453.0,1796044.0,1906429.0,1999179.0,2036661.0,2055556.0,2089491.0,2055035.0,2046543.0,2281270.0
