,Item,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,"Almonds, with shell",30029.0,39871.0,33067.0,36343.0,44447.0,43005.0,42070.0,77599.0,101089.0,93403.0,109005.0,116873.0,148736.0,105668.0,132078.0,162155.0,228363.0,252181.0,309744.0,387371.0,380545.0,316818.0,322921.0,363630.0
1,"Anise, badian, fennel, coriander",161062.0,170992.0,153239.0,186000.0,213767.0,226894.0,203484.0,228412.0,231311.0,281976.0,272467.0,276261.0,291238.0,449645.0,498882.0,353814.0,320150.0,321429.0,333206.0,354979.0,440602.0,477599.0,456557.0,528492.0
2,Apples,3989272.0,4239631.0,4660874.0,4666720.0,4812733.0,4791755.0,4895829.0,5712023.0,5760949.0,6124638.0,6695960.0,6894472.0,7432141.0,7628579.0,8460883.0,8196815.0,8347831.0,9001016.0,8688359.0,8821653.0,9175588.0,9465915.0,10939862.0,10013757.0
3,Apricots,117721.0,163958.0,131156.0,169289.0,227618.0,176007.0,196755.0,200979.0,186703.0,215406.0,183916.0,194552.0,241812.0,281496.0,208690.0,269517.0,320789.0,288340.0,293052.0,401321.0,387848.0,346405.0,357095.0,349305.0
4,Areca nuts,48183.0,50740.0,48561.0,47487.0,52911.0,73243.0,67474.0,94131.0,91538.0,95075.0,95252.0,178715.0,174903.0,219564.0,222236.0,225497.0,337079.0,332993.0,195703.0,295150.0,378774.0,378276.0,388052.0,298529.0
5,Artichokes,52866.0,59648.0,57192.0,55184.0,51292.0,58286.0,54134.0,65890.0,63343.0,55023.0,49898.0,78925.0,67972.0,76415.0,41811.0,47737.0,58104.0,46036.0,42956.0,55767.0,70753.0,58814.0,52346.0,45494.0
6,Asparagus,147689.0,157108.0,156524.0,156208.0,169876.0,178606.0,204011.0,213898.0,227361.0,244745.0,253128.0,242208.0,277330.0,276572.0,296812.0,331553.0,338742.0,362519.0,374935.0,410619.0,385323.0,440809.0,396539.0,436586.0
7,Avocados,171381.0,219619.0,252874.0,259770.0,276089.0,337614.0,321707.0,450273.0,397808.0,485128.0,481259.0,583940.0,761027.0,680630.0,864078.0,843805.0,990613.0,989153.0,1034646.0,1247315.0,1410551.0,1685826.0,1945262.0,2175377.0
8,Bambara beans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3948.0,2315.0,3044.0,2690.0,4370.0
9,Bananas,11491477.0,12925546.0,13168092.0,13901958.0,14303284.0,14497242.0,14421834.0,17246129.0,16613545.0,17603816.0,18741975.0,19198038.0,19815934.0,19858649.0,21590503.0,21644284.0,21518613.0,21546971.0,22286296.0,21848337.0,23097724.0,23880194.0,23001911.0,23452434.0
10,Barley,16056615.0,19454445.0,16479574.0,17646885.0,17159010.0,17854631.0,20975843.0,26592464.0,23529086.0,25781246.0,24508405.0,23892769.0,27565881.0,26988802.0,28076649.0,29251954.0,27748675.0,29098693.0,28281362.0,30918574.0,33171552.0,36799654.0,40968494.0,37406115.0
11,"Beans, dry",1693585.0,2351757.0,2258015.0,1979868.0,2103955.0,2208210.0,2279649.0,2173832.0,2545116.0,2944192.0,3295596.0,2809836.0,2783346.0,3210526.0,3427021.0,3733279.0,4118546.0,3557762.0,3793720.0,3939436.0,3861344.0,3812631.0,3844728.0,4175471.0
12,"Beans, green",181588.0,177685.0,212841.0,207018.0,230742.0,227908.0,261454.0,347702.0,361769.0,395372.0,431857.0,523756.0,560519.0,509839.0,597410.0,632754.0,557989.0,599982.0,545795.0,600293.0,683869.0,664917.0,623068.0,690933.0
13,Blueberries,22519.0,24329.0,19157.0,19889.0,17214.0,18252.0,31455.0,49656.0,51443.0,53145.0,58008.0,64454.0,73131.0,77653.0,88442.0,110948.0,127143.0,152847.0,172723.0,189530.0,209757.0,222368.0,249537.0,294545.0
14,"Broad beans, horse beans, dry",652531.0,825330.0,640056.0,478329.0,439141.0,410220.0,709648.0,605640.0,622371.0,766941.0,738835.0,771460.0,747269.0,909417.0,659818.0,564714.0,695318.0,744295.0,805964.0,824635.0,850717.0,831105.0,958757.0,999494.0
15,Buckwheat,181803.0,170028.0,160513.0,237001.0,180277.0,192368.0,171058.0,232463.0,238187.0,166842.0,235998.0,199419.0,152288.0,170260.0,173576.0,164411.0,167151.0,161697.0,153640.0,153797.0,166959.0,201285.0,244468.0,236324.0
16,Cabbages and other brassicas,950387.0,1032220.0,956212.0,1045963.0,1036255.0,1211890.0,1357152.0,1428995.0,1453780.0,1404766.0,1496286.0,1543993.0,1703353.0,1792156.0,2024494.0,2213107.0,2057556.0,2387265.0,2616273.0,2623417.0,2809319.0,3114275.0,3339897.0,3270950.0
17,Canary seed,177599.0,211698.0,207409.0,194294.0,218297.0,308379.0,223048.0,258077.0,265346.0,238467.0,249253.0,241936.0,247045.0,252070.0,240044.0,236505.0,213174.0,235619.0,248959.0,210731.0,252663.0,239464.0,212287.0,211828.0
18,Carrots and turnips,673176.0,738749.0,836874.0,850810.0,812281.0,891497.0,992197.0,1470024.0,1618783.0,1645881.0,1761657.0,1745970.0,1912081.0,2148634.0,2200476.0,2325856.0,2348295.0,2488089.0,2659716.0,2610711.0,2780113.0,2725534.0,2929516.0,3011171.0
19,"Cashew nuts, with shell",73279.0,278768.0,271124.0,75663.0,183225.0,204646.0,412308.0,357218.0,318588.0,469253.0,501524.0,561623.0,600455.0,639776.0,694831.0,772721.0,962607.0,787025.0,1089167.0,1152848.0,1336909.0,1362201.0,1547779.0,1617925.0
20,Cashewapple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0
21,Cassava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
